severity,topic_id,model_variants,fact_exists,anchor_count,coverage_score,anchor_coverage,issues
OK,adc_dac_signal_conversion_interface,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,calibration_error_accuracy_precision,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,camera_lidar_radar_sensor_comparison,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,classification_model_precision_recall_f1_evaluation,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,continuous_discrete_control_model_comparison,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,control_valve_actuator_types_selection,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,control_valve_body_trim_selection,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,control_valve_cavitation,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,control_valve_positioner_ip_converter,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,cv_valve_flow_coefficient,3,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,dc_dc_chopper_buck_converter,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,differential_pressure_transmitter_calibration,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,doppler_effect_velocity_flow_measurement,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,energy_harvesting_wireless_sensor_power,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,explosion_safety_sil_sis,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,flowmeter_dp_orifice,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,frame_grounding_shielding_noise_control,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,gpib_scpi_instrumentation_communication,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,hart_fims_field_instrument_management,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,hmi_scada,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,induction_motor_dq_reference_frame_equivalent_circuit,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,industrial_communication_protocol,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,industrial_ethernet_realtime_network,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,industrial_robot_degrees_of_freedom,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,level_measurement_sensor_selection,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,local_instrument_cabinet_installation,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,measurement_repeatability_reproducibility,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,mems_comb_drive_electrostatic_actuator,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,motor_inverter_drive,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,noise_grounding_surge,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
OK,photodiode_light_sensor_operation_modes,1,True,5,5/5,F1:OK; F2:OK; F3:OK; F4:OK; F5:OK,OK
